is_miner,address,minimum_monthly_output,maximum_monthly_output,minimum_monthly_input,maximum_monthly_input,input_output_max_lag,input_output_min_lag,output_active_months,total_out_tx_count,total_out_tx_value,mean_tx_output_value,stddev_tx_output_value,input_active_months,total_tx_input_count,total_tx_input_value,mean_tx_input_value,stddev_tx_input_value,total_input_tx,mean_monthly_input_value,mean_output_idle_time,stddev_output_idle_time,mean_input_idle_time,stddev_input_idle_time
true,1gZWGk53RZMG7dZjeNMvqhdFm3Twha5eJ,1409529600,1464739200,1464739200,1464739200,0,-55209600,18,273,2307132315,8451034.12087912,12645458.6103197,1,246,2242215098,9114695.5203252,12926874.3430468,2,9114695.5203252,201550.316176471,746456.518667684,88922,
true,1CXYXexbeGHeZQ3ghV62b1wWtq7hc7VvPc,1422748800,1483228800,1427846400,1483228800,0,-5097600,10,52,454639214,8743061.80769231,5545977.73153642,8,52,454639214,8743061.80769231,5545977.73153642,28,8743061.80769231,1185134.07843137,5534882.52630971,2232268.28,7874413.56713222
true,1HDaQMUNVWsqSxPHR7oH6iHBA45LpucfHt,1351728000,1383264000,1356998400,1383264000,0,-5270400,13,42,1692917128,40307550.6666667,29707825.666211,9,42,1692917128,40307550.6666667,29707825.666211,15,40307550.6666667,775071.756097561,693651.93639277,1840644.57142857,1716133.79420463
true,181zLChzjcxTKmWfiADrEs36KqRqCwumvC,1383264000,1420070400,1470009600,1477958400,-57888000,-86745600,9,65,362598964,5578445.6,3766007.52810758,4,65,362598964,5578445.6,3766007.52810758,11,5578445.6,565724.5625,2124472.78880022,882195.9,1098023.23599604
true,1GsrNGM64zfyKec37miLh655KKQeGX91cg,1330560000,1396310400,1333238400,1380585600,15724800,-2678400,19,136,20257038659,148948813.669118,119718965.456987,9,134,20241338146,151054762.283582,119345848.758319,21,151054762.283582,472891.481481481,1489661.82631454,2479810.05,4974269.50710475
true,1MkjCzh32vo2uasmdbjBob9D7BTFyZ8QCV,1420070400,1443657600,1422748800,1451606400,-7948800,-2678400,8,55,370778675,6741430.45454546,12013814.6786369,7,55,370778675,6741430.45454546,12013814.6786369,10,6741430.45454546,426945.092592593,819926.00018838,3756898.625,2833950.86604252
true,17MHofaAFTbVg9htVU9QiQEStVTsx311ba,1385856000,1420070400,1385856000,1420070400,0,0,13,155,3279387684,21157339.8967742,28324392.8611052,4,155,3279387684,21157339.8967742,28324392.8611052,6,21157339.8967742,212860.136363636,533137.536885625,8178716,10753691.6279935
true,1Es1JbYNnFV2SSvox1aC167xDsCHGjaj5s,1362096000,1483228800,1362096000,1496275200,-13046400,0,3,37,7805972274,210972223.621622,189487686.173918,7,37,7805972274,210972223.621622,189487686.173918,18,210972223.621622,3317511.08333333,19448060.8198918,8322231.1875,27935430.7325403
true,1KQbe2GXv4WkHP14F5n6hQt8c5h9wvy9Eu,1306886400,1325376000,1312156800,1356998400,-31622400,-5270400,7,101,9785178171,96882952.1881188,71158102.7937746,4,100,9785168365,97851683.65,70844067.550582,5,97851683.65,190698.26,556205.37739568,11439150.75,9407789.05828578
true,19GZG7D8D9N9YdBDvuYkwxun3fjEQnM1ky,1370044800,1462060800,1370044800,1420070400,41990400,0,30,198,937113117,4732894.53030303,22386535.8251631,9,177,936728034,5292248.77966102,23621756.2703144,15,5292248.77966102,468094.756345178,1051176.23378723,3552124.42857143,4985860.61248704
true,1JLsfw34FfaZw8XwkczPBnDwqzJ4gR7LcW,1370044800,1375315200,1372636800,1375315200,0,-2592000,3,23,1010840274,43949577.1304348,28730554.2760111,2,23,1010840274,43949577.1304348,28730554.2760111,7,43949577.1304348,181022.863636364,298964.77500492,580858.666666667,579157.759744154
true,1JJQ1mqqohHS93TR9zX7UEJAiZAr8fkrM6,1383264000,1412121600,1393632000,1404172800,7948800,-10368000,9,248,9909157944,39956282.0322581,335437028.487754,2,247,9909154625,40118034.9190283,336108427.857903,2,40118034.9190283,116415.05785124,551908.369059534,10444909,
true,1HkVwVmER6cmzDvwsduo75VCyB38MsERYY,1396310400,1406851200,1396310400,1406851200,0,0,5,76,805375798,10597049.9736842,13080275.7943159,5,76,805375798,10597049.9736842,13080275.7943159,35,10597049.9736842,143536.306666667,127291.853260473,366899.34375,315911.584313387
true,15FV9AFHvxzngeMkd91GDtkGv561VymKQ1,1383264000,1391212800,1385856000,1498867200,-107654400,-2592000,4,21,239475199,11403580.9047619,3692439.17415223,4,21,239475199,11403580.9047619,3692439.17415223,7,11403580.9047619,414510.7,181916.119307802,18893301.3333333,43382386.7696854
true,1JR1QTPTFD1NHVbCtfnBHngdd9dt6BKi17,1393632000,1454284800,1406851200,1477958400,-23673600,-13219200,19,95,518951574,5462648.14736842,2698916.88169764,8,95,518951574,5462648.14736842,2698916.88169764,9,5462648.14736842,645872.64893617,1481025.59955168,8980453.75,8179232.78927555
true,1JUdNasPxXFz3dzohK5kRduzuYVysSxJxa,1338508800,1388534400,1343779200,1393632000,-5097600,-5270400,18,116,3339539884,28789136.9310345,23288960.3772265,9,116,3339539884,28789136.9310345,23288960.3772265,12,28789136.9310345,444404.347826087,805109.00389032,4581154.81818182,5549386.31685367
true,1P95HQgnHeqnBFPuuGLTvX7XEmBP8Tr6jw,1385856000,1498867200,1385856000,1401580800,97286400,0,11,276,1518136565,5500494.80072464,7504270.81059373,4,84,760192692,9049913,5822089.74123407,7,9049913,423511.802238806,3887405.18105307,2609793.66666667,3293553.80313312
true,128gM5xXkgeqtTz2WsYtqiq1zVS1CuyScz,1380585600,1472688000,1380585600,1472688000,0,0,23,115,6254772090,54389322.5217391,141485169.885038,16,115,6254772090,54389322.5217391,141485169.885038,26,54389322.5217391,821361,2642639.26851848,3827009.20833333,5679823.22149296
true,1NGzNKbeM4Nf8AUZ5b5u5G54XKFFZ6cxwk,1393632000,1406851200,1396310400,1409529600,-2678400,-2678400,6,42,900747818,21446376.6190476,15472219.0468359,5,42,900747818,21446376.6190476,15472219.0468359,12,21446376.6190476,283608.365853659,226298.416553536,1419436.6,1740207.67715531
true,1AGd6A2VwKMy6eMgAQGW9QQmoF2wZmdvPY,1385856000,1517443200,1401580800,1519862400,-2419200,-15724800,47,529,57546553,108783.654064272,296963.279208479,19,529,57546553,108783.654064272,296963.279208479,25,108783.654064272,250914.217142857,621172.584875835,5014302.20833333,6104753.50300133
true,19Hq7RbUsZgyUUn5csm2cBKYNrUmo7yZY1,1401580800,1427846400,1401580800,1430438400,-2592000,0,10,41,1423066308,34708934.3414634,21619331.05248,12,41,1423066308,34708934.3414634,21619331.05248,25,34708934.3414634,674247.075,649607.283211168,1126973.875,1102832.24400499
true,18PsjhvTBcbvoSD28sE71giG1a82h1rNjY,1393632000,1438387200,1393632000,1451606400,-13219200,0,8,62,6067149876,97857256.0645161,287739967.628789,7,62,6067149876,97857256.0645161,287739967.628789,23,97857256.0645161,764222.918032787,3012032.98008442,2676082.72727273,9779505.74060162
true,1FRDW2Hf23ktDEr75iRYULmj9umEmJnWua,1367366400,1438387200,1367366400,1462060800,-23673600,0,20,587,32464633723,55306019.9710392,326172807.221385,19,587,32464633723,55306019.9710392,326172807.221385,113,55306019.9710392,121070.536752137,937027.180520431,952904.772277228,4048550.95270556
true,1BnkiXrAyGvStbcJN2HaVteEToJxnYAgg9,1414800000,1430438400,1414800000,1446336000,-15897600,0,7,29,133335513,4597776.31034483,3111011.94012087,6,29,133335513,4597776.31034483,3111011.94012087,20,4597776.31034483,637068.357142857,864826.845700392,1662231.36842105,3979035.42616016
true,135wh3U3CiR2YrdwDKhdFnCxwzzsA2RyMM,1380585600,1417392000,1383264000,1420070400,-2678400,-2678400,15,233,1805672704,7749668.25751073,9796453.89042758,5,233,1805672704,7749668.25751073,9796453.89042758,10,7749668.25751073,153289.844827586,172519.48702864,4234434.44444444,5640668.19521639
true,1KXBaYmSQxSpNzFkgickyG5XFz74sWYmQH,1377993600,1438387200,1377993600,1446336000,-7948800,0,9,89,5667191255,63676306.2359551,166870127.061255,7,89,5667191255,63676306.2359551,166870127.061255,17,63676306.2359551,717049.395348837,4302226.95498625,4336956.5,8793664.89090828
true,1MkFqthBbNa1fupUp2G2dXwXDawUse3DTd,1438387200,1493596800,1438387200,1517443200,-23846400,0,15,33,168303362,5100101.87878788,1612547.68615594,16,33,168303362,5100101.87878788,1612547.68615594,21,5100101.87878788,1728847.8125,2397850.576115,3908299,5225854.90665819
true,12UHTqhm2xZF9HFbnj1juPoJBZ6xgRRQe7,1322697600,1509494400,1322697600,1512086400,-2592000,0,48,165,7102300352,43044244.5575758,56771897.2291655,18,96,6484199785,67543747.7604167,57095955.1499269,22,67543747.7604167,1164957.58024691,2153277.71828535,9013587.23809524,22322953.1760273
true,1GaCzHgdXh4ETDAkcSXXrkEsgxU6QPsAbL,1388534400,1491004800,1388534400,1396310400,94694400,0,10,177,1179033915,6661208.55932203,33280583.0546132,3,99,1055535252,10661972.2424242,44168493.4945636,7,10661972.2424242,589459.222857143,5334675.529075,1110784.5,1400903.4609615
true,1E9D67p3GHy8hLTKMr8hTzXGgCmVqiP5oR,1393632000,1493596800,1398902400,1493596800,0,-5270400,35,260,13735902819,52830395.4576923,151315988.480429,16,260,13735902819,52830395.4576923,151315988.480429,40,52830395.4576923,391287.158914729,855690.804247825,2505521.57894737,8827489.3068826
true,1C2MigC8FYNt7inz9iQvfMem87M6mqSdRz,1375315200,1483228800,1377993600,1493596800,-10368000,-2678400,18,171,720402882,4212882.35087719,4167651.92365358,14,171,720402882,4212882.35087719,4167651.92365358,33,4212882.35087719,624349.9,4124271.7254734,3618061.0625,8399431.3999942
true,131uzz9N17sLx4cHRhSL9VTmNmkafsjWYt,1391212800,1414800000,1393632000,1514764800,-99964800,-2419200,10,74,3152616240,42602922.1621622,36856866.9654267,5,62,3066341516,49457121.2258065,36403939.4351981,6,49457121.2258065,318820.643835616,425670.79619794,24492135.4,23643275.3987808
true,1FrankZ7t5Wbf5uTMxMtCiQy9eKDsj1fUn,1380585600,1425168000,1383264000,1530403200,-105235200,-2678400,6,27,937945329,34738715.8888889,94638548.4336448,5,27,937945329,34738715.8888889,94638548.4336447,8,34738715.8888889,1728130.07692308,6759348.54160006,21026533.1428571,51660358.7421416
true,1AtDLAyHQbZPva7SKf9Pu3ecNghEskdnLA,1354320000,1420070400,1364774400,1483228800,-63158400,-10454400,18,308,2267665751,7362551.13961039,15898737.8669066,6,308,2267665751,7362551.13961039,15898737.8669066,12,7362551.13961039,216593.797342193,1041568.5813255,11965663.2,20977729.4529013
true,1BUUzgofKTFLdPSwuVpkrWG5tfHpQEYccr,1396310400,1425168000,1396310400,1456790400,-31622400,0,11,86,1134958479,13197191.6162791,10944761.4985672,11,86,1134958479,13197191.6162791,10944761.4985672,59,13197191.6162791,335575.776470588,621438.624707878,1029399.17241379,4815327.12326599
true,1Ntvpkq2bLDkzq3qsVSQqMWniuWQtm2n27,1375315200,1485907200,1383264000,1485907200,0,-7948800,15,322,14517332567,45084883.7484472,49315185.0801465,6,321,14517318266,45225290.5482866,49327676.5388365,11,45225290.5482866,339169.98125,3903277.93212004,11195309.1111111,25473357.1562385
true,1NHmv9SFVydzvukR84EB8kby8LHuwvNPsp,1372636800,1462060800,1380585600,1464739200,-2678400,-7948800,34,359,5063476020,14104390.0278552,34264514.7802246,17,359,5063476020,14104390.0278552,34264514.7802246,106,14104390.0278552,251644.768156425,351743.866732287,818282.504854369,2631381.76357874
true,1E7GKfUEp6cYcqyKMXS9HTqdvmkNKkk7wN,1385856000,1404172800,1385856000,1427846400,-23673600,0,8,48,3451048652,71896846.9166667,60014402.3150021,6,48,3451048652,71896846.9166667,60014402.3150021,36,71896846.9166667,387155.260869565,611131.545925041,1353881.875,5214858.27213243
true,1A8v4ZVXKJtVfCfgEwW4v62mHaNbCpeeVT,1422748800,1451606400,1422748800,1459468800,-7862400,0,12,52,326200453,6273085.63461539,5417265.10220202,11,52,326200453,6273085.63461539,5417265.10220202,25,6273085.63461539,551798.31372549,558511.31392363,1497836.41666667,2775241.4516838
true,1PzV9kHvB2vU3np2Ei1YxvPAS8HZppJ5UX,1306886400,1420070400,1309478400,1422748800,-2678400,-2592000,31,313,24357312980,77818891.3099042,76606972.4607354,24,313,24357312980,77818891.3099042,76606972.4607354,49,77818891.3099042,357554.176282051,1204883.40079091,2399820.125,3605586.03100686
true,16HjqnMo5vs4CgKNZ4Pkdje8NHtaHR5Vrx,1304208000,1404172800,1325376000,1514764800,-110592000,-21168000,11,72,431538960,5993596.66666667,11472104.2769947,8,59,372591381,6315108.15254237,12667447.5951108,9,6315108.15254237,1407649.47887324,8183635.23236132,23630369.875,44762976.0882598
true,16vEux5txgZmAjNnubiLiww73YjGoD1z2m,1406851200,1454284800,1414800000,1512086400,-57801600,-7948800,15,45,181918816,4042640.35555556,1136738.34148307,6,43,175121718,4072598.09302326,1140706.9068139,9,4072598.09302326,1074703.93181818,1613968.21959673,12344499,20399319.5932721
true,1CG2rpj5jbm1B9LWVraeJ8onbVNHQ5XcpH,1367366400,1420070400,1380585600,1435708800,-15638400,-13219200,12,92,1080937168,11749317.0434783,12530124.8609319,6,92,1080937168,11749317.0434783,12530124.8609319,12,11749317.0434783,568738.956043956,2488562.99458142,5391210.2,10890235.2509627
true,1FZBjyY878gjqJdg7r2D55uonN48mf3KFJ,1393632000,1406851200,1393632000,1414800000,-7948800,0,6,71,2037017642,28690389.3239437,23693645.1166007,8,71,2037017642,28690389.3239437,23693645.1166007,31,28690389.3239437,204270.128571429,151031.710754361,696840.933333333,884804.039881145
true,16n3iCva8HYo8u2B8vgFx3nanBZFUrw8Pf,1367366400,1483228800,1367366400,1412121600,71107200,0,9,23,349967133,15215962.3043478,5147156.01291174,8,22,349857839,15902629.0454545,4048903.77001963,16,15902629.0454545,5213359.72727273,18767426.5713812,2955643.46666667,6455388.78320834
true,1P69J7PU2w9DhRJnWDVxQVY8kKzt69QdoS,1351728000,1404172800,1354320000,1475280000,-71107200,-2592000,16,249,26771881935,107517598.13253,147346974.359812,14,249,26771881935,107517598.13253,147346974.359812,82,107517598.13253,278898.37037037,967932.958586097,1523221.6,9974811.87312619
true,1LsPJ3pMgHxYGkTFgxZMpY2mUVi4wMte7J,1435708800,1462060800,1462060800,1462060800,0,-26352000,9,30,1205030753,40167691.7666667,143637302.263465,1,30,1205030753,40167691.7666667,143637302.263465,2,40167691.7666667,895021.827586207,1720092.34281253,26968,
true,1LEWk2KMzM7vcaX7xLRPiMMRPbdtoXGVm7,1398902400,1430438400,1398902400,1430438400,0,0,6,28,212571691,7591846.10714286,4927257.57044532,7,28,212571691,7591846.10714286,4927257.57044532,28,7591846.10714286,1193355.55555556,2783865.66120986,1190296.51851852,2743696.75161366
true,18rCekv2MYpuZM6tfuj58sq8Z4gyeQzujZ,1343779200,1351728000,1343779200,1354320000,-2592000,0,4,24,14946005553,622750231.375,820635691.848603,5,24,14946005553,622750231.375,820635691.848603,9,622750231.375,297193.782608696,250953.543652996,1242537,1190120.95423136
true,1NeAK829xSEJM613aJcg71jY7GTDBiU4zf,1383264000,1451606400,1385856000,1451606400,0,-2592000,24,112,4504427975,40218106.9196429,95124478.9533197,11,111,4503470455,40571805.9009009,95481873.6227758,19,40571805.9009009,638399.409090909,852261.912043059,3674412.22222222,4751758.05340398
true,16mxBr6sNFyQAgSjo6KaQ74hvjyfBoBBet,1396310400,1472688000,1396310400,1477958400,-5270400,0,24,243,4292935132,17666399.7201646,24102917.3240125,21,243,4292935132,17666399.7201646,24102917.3240125,104,17666399.7201646,365973.543269231,1005574.98260358,1135435.76056338,2181648.69618479
true,1GntrZawZcFUQLDUJSX7XfWHYSEk8wXtjL,1409529600,1485907200,1409529600,1491004800,-5097600,0,14,87,2696484317,30994072.6091954,57354333.2823856,4,87,2696484317,30994072.6091954,57354333.2823857,5,30994072.6091954,899530.848837209,3623654.08511926,20851486.5,36174827.9914322
true,1471p6KdPCtdGQN7iT2m2QSxitt9mKtMDQ,1306886400,1333238400,1306886400,1333238400,0,0,11,163,15690092935,96258238.8650307,65301361.6336139,9,163,15690092935,96258238.8650307,65301361.6336139,23,96258238.8650307,162151.907407407,111281.181140266,1264804.90909091,1396356.41599932
true,1MyRUsGAmFuCNgrMWtSKfC8hi2EMsqY19L,1393632000,1483228800,1393632000,1483228800,0,0,10,66,561100558,8501523.60606061,6115363.53087351,9,66,561100558,8501523.60606061,6115363.53087351,35,8501523.60606061,1385167.23076923,8420447.29047456,2662964.47058824,10265518.8687094
true,1smART8ZtUa6qDGLEavEZsAMt3ybqhRZX,1396310400,1456790400,1409529600,1456790400,0,-13219200,10,78,2207560754,28302060.9487179,25475957.2432254,3,78,2207560754,28302060.9487179,25475957.2432254,4,28302060.9487179,768125.220779221,4435518.29009273,15865998.3333333,19285922.515439
true,1Ft8pwJAxdHyjK2fMd53SAFA47oqC1Tr4A,1398902400,1483228800,1398902400,1517443200,-34214400,0,14,86,722549543,8401738.87209302,6831316.75213833,14,86,722549543,8401738.87209302,6831316.75213832,77,8401738.87209302,994320.329411765,4051634.95161491,1574610.61842105,5667517.80054864
true,1HUJtM1z1zk2pqNUSbxsaAGZaBYYrxyyEJ,1362096000,1404172800,1362096000,1404172800,0,0,13,96,1840313220,19169929.375,101435329.335592,11,96,1840313220,19169929.375,101435329.335592,17,19169929.375,445467.589473684,1087671.63374138,2705850.6,2519828.32827473
true,1Eric9ToEhe6dPqbGP5vFSf5BDnbhnox2q,1409529600,1564617600,1420070400,1559347200,5270400,-10540800,41,212,9153387595,43176356.5801887,571038768.24713,6,167,9118362718,54600974.3592814,643322018.154734,10,54600974.3592814,730976.81042654,1937368.3453126,15465587.5555556,21284853.6095449
true,1BjLGK847Mhuu7b7boUG39Lq5Zx3unjaHw,1393632000,1404172800,1396310400,1498867200,-94694400,-2678400,5,31,5069336166,163526973.096774,456626437.768119,2,31,5069336166,163526973.096774,456626437.768119,3,163526973.096774,342416.933333333,683698.927204322,51230393.5,72358220.6553634
true,15pndxZePRdKcqsGT8VAhKptRfXSeeKuWR,1370044800,1396310400,1372636800,1435708800,-39398400,-2592000,11,89,467131417,5248667.60674157,4077664.41591023,6,89,467131417,5248667.60674157,4077664.41591023,16,5248667.60674157,299379.252873563,490221.338244984,4194306.93333333,9865812.00117764
true,1BRfacd9W3aVYrrvyPKHE257XzokRRk4yb,1388534400,1433116800,1391212800,1433116800,0,-2678400,8,73,451556452,6185704.82191781,12395863.5169195,7,73,451556452,6185704.82191781,12395863.5169195,14,6185704.82191781,619655.402777778,3466504.71045437,3122134,7684058.93310692
true,19E5in4iidVNnYkV4eu3z8ybTMmjTHmE3,1391212800,1422748800,1391212800,1422748800,0,0,13,178,297847066,1673298.12359551,1271499.34815784,8,177,296708549,1676319.48587571,1274465.5034542,10,1676319.48587571,181685.429378531,165539.095337905,3305701.44444444,2981924.12186201
true,1819GYv9smmrd8m8Mhty82UR52dyzPb9FF,1393632000,1493596800,1396310400,1483228800,10368000,-2678400,36,894,10085959070,11281833.4116331,72859107.4307015,22,892,10085567323,11306689.823991,72938938.5860565,27,11306689.823991,113623.989761092,409934.106311031,3254764.42307692,2475182.37850867
true,1LA7BfFXMeHydfcC6Zxpc6kHokwciyQpAJ,1391212800,1564617600,1406851200,1564617600,0,-15638400,21,202,2392586167,11844485.9752475,17016491.8679874,13,182,2362165072,12978928.967033,17562205.4167341,22,12978928.967033,857757.31840796,3719405.17412721,7487134.95238095,10564753.8754107
true,16emGhAVyj2prhdg51ofMZ31Z4FQFhsJYo,1354320000,1406851200,1364774400,1406851200,0,-10454400,16,126,4521800170,35887302.9365079,89138821.3557169,3,126,4521800170,35887302.9365079,89138821.3557169,7,35887302.9365079,430891.467741936,1233660.54475055,14002562,12530224.5987199
true,1KLKV1Ey4keLNecEUvz28EMKkAncbCYGTQ,1370044800,1412121600,1372636800,1406851200,5270400,-2592000,16,129,1168308983,9056658.78294574,5552980.67152771,8,127,1167614933,9193818.37007874,5486360.09077467,11,9193818.37007874,325978.1015625,490766.485593562,3376284.2,2675811.52029622
true,1PmkeUZbE1ndKJP7EE85YtPrqxSwzWSFEs,1383264000,1412121600,1383264000,1391212800,20908800,0,10,59,111644153,1892273.77966102,2842329.10451355,4,43,85065257,1978261.79069767,2722193.81725109,10,1978261.79069767,485483.810344828,990452.475627042,747717.444444444,810569.109871285
true,1PazYsNNCaBrFoaGBAVvMQdBrwwN1wNuPU,1377993600,1406851200,1380585600,1512086400,-105235200,-2592000,12,179,11149603481,62288287.603352,601508771.071508,2,179,11149603481,62288287.603352,601508771.071508,3,62288287.603352,153580.601123596,211837.89444608,65448672,92410856.0949594
true,1Q5BsKzcYjipcUyJk19AYPsgQzvbg2wXCR,1391212800,1417392000,1391212800,1417392000,0,0,7,60,742564970,12376082.8333333,21859231.6144723,4,60,742564970,12376082.8333333,21859231.6144723,6,12376082.8333333,439546,1678753.00918304,5268873,5958355.8017451
true,1F7QYGzGaGrGQSZdwVNzgw8oJ21qZQwh7,1438387200,1509494400,1441065600,1525132800,-15638400,-2678400,19,62,173017032,2790597.29032258,1885893.75476567,7,62,173017032,2790597.29032258,1885893.75476567,10,2790597.29032258,1170557.19672131,2483246.91317628,9486891.22222222,12462938.5405885
true,1JDQRByuy2cbrrAvBrZGFwH4iuG9NihUFe,1349049600,1504224000,1362096000,1514764800,-10540800,-13046400,26,324,87087877706,268789746.006173,1231798927.95333,11,324,87087877706,268789746.006173,1231798927.95333,29,268789746.006173,479454.434782609,4595415.75557093,5800831.76923077,20949699.4520007
true,1LP2reAJZkon83Zr274TnkWNBhGXETsmMn,1409529600,1493596800,1412121600,1496275200,-2678400,-2592000,17,111,1068980617,9630456.00900901,27127252.0875083,13,111,1068980617,9630456.00900901,27127252.0875083,24,9630456.00900901,779792.018181818,2965910.40426685,3617574.04347826,10980093.009682
true,1KCoEWgZ6xm2uMoU25bArvRu1DgD7ifjx5,1406851200,1464739200,1409529600,1464739200,0,-2678400,23,809,13331051553,16478432.0803461,41037373.5539176,14,809,13331051553,16478432.0803461,41037373.5539176,101,16478432.0803461,75392.62335958,143093.798127186,635821.686046512,2043187.71906616
true,12a2C8WR6ABFcUo1mywTRYdEuSxzdRuePz,1396310400,1417392000,1398902400,1438387200,-20995200,-2592000,8,29,228147224,7867145.65517241,6607437.68387561,5,29,228147224,7867145.65517241,6607437.68387561,7,7867145.65517241,675758.178571429,1075836.07567097,6392997.5,7367139.52758678
true,16taCMamAnYkhgiRLztHppqjoFBs881rSM,1404172800,1483228800,1404172800,1509494400,-26265600,0,22,495,1342210755,2711536.87878788,5793429.72027774,2,493,1337126913,2712224.97565923,5803001.74377156,4,2712224.97565923,160821.680161943,858351.594719519,35645571,61552650.9928608
true,1Q8yUJ7XbgtXLNtzRrkFXZkTUa9CLNmV5q,1404172800,1427846400,1404172800,1427846400,0,0,10,66,800503429,12128839.8333333,7191486.09494785,10,66,800503429,12128839.8333333,7191486.09494785,66,12128839.8333333,376540.015384615,385346.394405268,377043.492307692,374728.352851899
true,1xCbqUXgg13ToDo4LsXJtReZzsPsAiqPS,1420070400,1420070400,1420070400,1422748800,-2678400,0,1,23,55351867753,2406602945.78261,502893168.350271,2,23,55351867753,2406602945.78261,502893168.350271,13,2406602945.78261,51241.9545454545,60318.7576822598,137376.416666667,70312.3946301702
true,15zJ37zkbyoEKb7M3k4gH9Vqz4B2REFS64,1383264000,1535760000,1422748800,1535760000,0,-39484800,17,104,2029876666,19518044.8653846,13783951.2268626,13,85,1950953977,22952399.7294118,12928416.3164235,15,22952399.7294118,1497363.49019608,6147747.07823512,8639415.53846154,12882992.4701125
true,15GDfPLjaPHArHRmHqt3SJGByYBm1tCqvP,1377993600,1433116800,1377993600,1462060800,-28944000,0,11,41,610327451,14886035.3902439,6031173.8156396,10,41,610327451,14886035.3902439,6031173.8156396,15,14886035.3902439,1408081.6,4622446.78222332,5937777.21428571,15450361.5345608
true,1NzE11xPrXWEyptwqgYSbpA5LW8AixXzKR,1398902400,1430438400,1398902400,1422748800,7689600,0,13,91,6031877203,66284364.8681319,75108828.2656023,9,81,6021735980,74342419.5061728,75813485.3788768,40,74342419.5061728,382128.8,628047.168066596,719232.176470588,949353.095859219
true,1Cwmdyi4sdZG1qPYxU1d5LMRwCVdaHKVR8,1314835200,1359676800,1317427200,1501545600,-141868800,-2592000,8,27,9130637120,338171745.185185,900165591.302089,6,26,9130616347,351177551.807692,915401690.619523,6,351177551.807692,1650970.42307692,3658039.19269025,36635525.8,57877165.4665713
